+-------------------+------------------+-------------------+------------------+-------------------+
|      a-b-c-d      |     a-b-c-e      |      a-b-d-e      |     a-c-d-e      |      b-c-d-e      |
|   a2-b1-c88-d73   |  a1-b23-c55-e21  |   a1-b75-d26-e94  |  a2-c2-d48-e96   |   b1-c53-d13-e68  |
|   a2-b1-c88-d75   |  a1-b23-c55-e51  |   a1-b75-d41-e25  |  a2-c2-d50-e15   |   b1-c53-d45-e20  |
|    a2-b7-c2-d45   |  a1-b23-c55-e75  |   a1-b75-d41-e42  |  a2-c2-d50-e29   |   b1-c53-d45-e29  |
|    a2-b7-c2-d48   |  a1-b23-c55-e94  |   a1-b75-d41-e51  |  a2-c2-d50-e68   |   b1-c53-d45-e64  |
|    a2-b7-c2-d73   |  a1-b23-c72-e21  |   a1-b75-d41-e75  |  a2-c2-d50-e96   |   b1-c53-d45-e68  |
|    a2-b7-c2-d86   |  a1-b23-c72-e25  |   a1-b75-d41-e92  |   a2-c2-d73-e5   |   b1-c53-d48-e18  |
|    a2-b7-c2-d97   |  a1-b23-c72-e42  |   a1-b75-d51-e21  |  a2-c2-d73-e20   |   b1-c53-d48-e20  |
|   a2-b7-c30-d45   |  a1-b23-c72-e51  |   a1-b75-d51-e51  |  a2-c2-d73-e29   |   b1-c53-d48-e29  |
|   a2-b7-c30-d48   |  a1-b23-c72-e75  |   a1-b75-d51-e75  |  a2-c2-d73-e68   |   b1-c53-d48-e46  |
|   a2-b7-c30-d73   |  a1-b23-c72-e86  |   a1-b78-d41-e25  |  a2-c2-d73-e96   |   b1-c53-d48-e52  |
|   a2-b7-c30-d75   |  a1-b23-c72-e92  |   a1-b78-d41-e42  |   a2-c2-d86-e5   |   b1-c53-d48-e64  |
|   a2-b7-c31-d45   |  a1-b23-c72-e94  |   a1-b78-d41-e51  |  a2-c2-d86-e15   |   b1-c53-d48-e68  |
|   a2-b7-c31-d48   |  a1-b23-c75-e21  |   a1-b78-d41-e55  |  a2-c2-d86-e20   |   b1-c53-d50-e29  |
|   a2-b7-c31-d73   |  a1-b23-c75-e25  |   a1-b78-d41-e92  |  a2-c2-d86-e29   |   b1-c53-d50-e68  |
|   a2-b7-c31-d75   |  a1-b23-c75-e42  |   a1-b78-d59-e25  |  a2-c2-d86-e68   |   b1-c53-d65-e29  |
|   a2-b7-c31-d84   |  a1-b23-c75-e51  |   a1-b78-d59-e42  |  a2-c2-d86-e96   |   b1-c53-d65-e64  |
|   a2-b7-c31-d86   |  a1-b23-c75-e75  |   a1-b78-d59-e55  |   a2-c2-d97-e5   |   b1-c53-d65-e68  |
|   a2-b7-c31-d97   |  a1-b23-c75-e86  |   a1-b78-d59-e92  |  a2-c2-d97-e15   |   b1-c53-d73-e18  |
|   a2-b7-c51-d45   |  a1-b23-c75-e92  |   a1-b78-d68-e25  |  a2-c2-d97-e20   |   b1-c53-d73-e20  |
|   a2-b7-c51-d73   |  a1-b23-c75-e94  |   a1-b78-d68-e42  |  a2-c2-d97-e96   |   b1-c53-d73-e29  |
|   a2-b7-c51-d84   |  a1-b23-c80-e21  |   a1-b78-d68-e55  |  a2-c19-d22-e15  |   b1-c53-d73-e46  |
|   a2-b7-c51-d86   |  a1-b23-c80-e25  |   a1-b78-d98-e25  |  a2-c19-d22-e68  |   b1-c53-d73-e64  |
|   a2-b7-c51-d97   |  a1-b23-c80-e42  |   a1-b78-d98-e42  |  a2-c19-d22-e96  |   b1-c53-d73-e68  |
|   a2-b7-c53-d45   |  a1-b23-c80-e51  |   a1-b78-d98-e55  |  a2-c19-d45-e15  |   b1-c53-d75-e18  |
|   a2-b7-c53-d48   |  a1-b23-c80-e75  |   a1-b80-d26-e21  |  a2-c19-d45-e29  |   b1-c53-d75-e20  |
|   a2-b7-c53-d73   |  a1-b23-c80-e86  |   a1-b80-d26-e51  |  a2-c19-d45-e68  |   b1-c53-d75-e29  |
|   a2-b7-c53-d75   |  a1-b23-c80-e92  |   a1-b80-d26-e75  |  a2-c19-d45-e96  |   b1-c53-d75-e46  |
|   a2-b7-c53-d86   |  a1-b23-c80-e94  |   a1-b80-d26-e86  |  a2-c19-d48-e29  |   b1-c53-d75-e52  |
|   a2-b7-c59-d45   |  a1-b36-c14-e21  |   a1-b80-d26-e94  |  a2-c19-d48-e68  |   b1-c53-d75-e64  |
|   a2-b7-c59-d73   |  a1-b36-c14-e25  |   a1-b80-d51-e21  |  a2-c19-d48-e96  |   b1-c53-d75-e68  |
|   a2-b7-c59-d84   |  a1-b36-c14-e42  |   a1-b80-d51-e51  |  a2-c19-d50-e15  |  b1-c53-d100-e18  |
|   a2-b7-c59-d86   |  a1-b36-c14-e51  |   a1-b80-d51-e75  |  a2-c19-d50-e29  |  b1-c53-d100-e29  |
|   a2-b7-c59-d97   |  a1-b36-c14-e55  |   a1-b95-d26-e25  |  a2-c19-d50-e68  |  b1-c53-d100-e52  |
|   a2-b7-c88-d45   |  a1-b36-c14-e75  |   a2-b1-d45-e20   |  a2-c19-d50-e96  |  b1-c53-d100-e64  |
|   a2-b7-c88-d48   |  a1-b36-c14-e86  |   a2-b1-d45-e29   |  a2-c19-d86-e15  |   b1-c82-d13-e18  |
|   a2-b7-c88-d73   |  a1-b36-c14-e92  |   a2-b1-d45-e68   |  a2-c19-d86-e29  |   b1-c82-d13-e29  |
