+-------------------+------------------+-------------------+------------------+-------------------+
|      a-b-c-d      |     a-b-c-e      |      a-b-d-e      |     a-c-d-e      |      b-c-d-e      |
|   a79-b14-c27-d9  | a66-b23-c55-e21  |  a71-b76-d63-e49  | a68-c27-d57-e98  |  b75-c72-d26-e86  |
|  a79-b14-c27-d49  | a66-b23-c55-e51  |  a71-b76-d63-e82  | a68-c27-d57-e100 |  b75-c72-d26-e92  |
|  a79-b14-c27-d61  | a66-b23-c55-e75  |  a71-b76-d66-e44  | a68-c27-d58-e58  |  b75-c72-d26-e94  |
|  a79-b14-c63-d49  | a66-b23-c80-e21  |  a71-b76-d66-e82  | a68-c27-d58-e100 |  b75-c72-d41-e25  |
|  a79-b14-c63-d69  | a66-b23-c80-e25  |  a71-b77-d18-e13  | a68-c27-d61-e57  |  b75-c72-d41-e42  |
|   a79-b14-c69-d8  | a66-b23-c80-e42  |  a71-b77-d18-e44  | a68-c27-d61-e58  |  b75-c72-d41-e51  |
|   a79-b14-c69-d9  | a66-b23-c80-e51  |  a71-b77-d18-e49  | a68-c27-d61-e91  |  b75-c72-d41-e75  |
|  a79-b14-c69-d49  | a66-b23-c80-e75  |  a71-b77-d18-e65  | a68-c27-d61-e100 |  b75-c72-d41-e92  |
|  a79-b14-c69-d61  | a66-b32-c16-e30  |  a71-b77-d40-e44  | a68-c27-d80-e57  |  b75-c72-d88-e21  |
|   a79-b14-c74-d8  | a66-b32-c16-e73  |  a71-b77-d40-e49  | a68-c27-d80-e58  |  b75-c72-d88-e51  |
|   a79-b14-c74-d9  | a66-b32-c34-e73  |  a71-b77-d40-e65  | a68-c27-d80-e100 |  b75-c72-d88-e75  |
|  a79-b14-c74-d49  | a66-b32-c56-e30  |  a71-b77-d40-e82  |  a68-c43-d7-e58  |  b75-c72-d88-e86  |
|  a79-b14-c74-d61  | a66-b32-c56-e73  |  a71-b77-d63-e13  |  a68-c43-d7-e60  |  b75-c72-d88-e94  |
|  a79-b14-c74-d69  | a66-b36-c14-e21  |  a71-b77-d63-e44  |  a68-c43-d7-e76  |   b75-c75-d1-e21  |
|   a79-b14-c76-d9  | a66-b36-c14-e25  |  a71-b77-d63-e49  | a68-c43-d7-e100  |   b75-c75-d1-e51  |
|  a79-b14-c76-d49  | a66-b36-c14-e42  |  a71-b77-d63-e65  |  a68-c43-d8-e58  |   b75-c75-d1-e75  |
|  a79-b14-c76-d69  | a66-b36-c14-e51  |  a71-b77-d63-e82  |  a68-c43-d8-e60  |   b75-c75-d1-e86  |
|   a79-b14-c98-d9  | a66-b36-c14-e55  |  a71-b92-d40-e49  | a68-c43-d8-e100  |   b75-c75-d1-e92  |
|  a79-b14-c98-d49  | a66-b36-c14-e75  |  a71-b92-d40-e65  |  a68-c43-d9-e58  |   b75-c75-d1-e94  |
|  a79-b14-c98-d69  | a66-b36-c55-e21  |  a71-b92-d40-e82  | a68-c43-d9-e100  |  b75-c75-d16-e21  |
|  a79-b14-c99-d69  | a66-b36-c55-e51  |  a71-b92-d63-e49  | a68-c43-d57-e58  |  b75-c75-d16-e51  |
|  a79-b20-c63-d69  | a66-b36-c55-e75  |  a71-b92-d63-e65  | a68-c43-d57-e60  |  b75-c75-d16-e75  |
|  a79-b20-c74-d69  | a66-b36-c56-e25  |  a71-b92-d63-e82  | a68-c43-d57-e76  |  b75-c75-d16-e86  |
|  a79-b20-c76-d69  | a66-b36-c56-e51  |   a72-b9-d72-e1   | a68-c43-d57-e100 |  b75-c75-d16-e94  |
|  a79-b20-c98-d69  | a66-b36-c56-e55  |   a72-b9-d72-e10  | a68-c43-d58-e58  |  b75-c75-d26-e21  |
|  a79-b20-c99-d69  | a66-b36-c56-e75  |   a72-b9-d72-e28  | a68-c43-d58-e100 |  b75-c75-d26-e25  |
|  a79-b22-c27-d49  | a66-b36-c80-e21  |   a72-b9-d72-e35  | a68-c43-d61-e58  |  b75-c75-d26-e42  |
|  a79-b22-c63-d49  | a66-b36-c80-e25  |   a72-b9-d72-e53  | a68-c43-d61-e100 |  b75-c75-d26-e51  |
|  a79-b22-c63-d69  | a66-b36-c80-e42  |   a72-b9-d72-e63  | a68-c43-d64-e60  |  b75-c75-d26-e75  |
|  a79-b22-c69-d49  | a66-b36-c80-e51  |  a72-b40-d14-e14  | a68-c43-d64-e76  |  b75-c75-d26-e86  |
|  a79-b22-c74-d49  | a66-b36-c80-e75  |  a72-b40-d79-e14  | a68-c43-d80-e58  |  b75-c75-d26-e92  |
|  a79-b22-c74-d69  | a66-b44-c14-e25  |  a72-b47-d14-e14  | a68-c43-d80-e60  |  b75-c75-d26-e94  |
|  a79-b22-c76-d49  | a66-b44-c14-e42  |  a72-b47-d79-e14  | a68-c43-d80-e76  |  b75-c75-d88-e21  |
|  a79-b22-c76-d69  | a66-b44-c14-e55  |  a72-b59-d31-e10  | a68-c43-d80-e100 |  b75-c75-d88-e51  |
|  a79-b22-c98-d49  | a66-b44-c34-e55  |  a72-b59-d31-e22  |  a68-c60-d7-e58  |  b75-c75-d88-e75  |
|  a79-b22-c98-d69  | a66-b44-c34-e73  |  a72-b59-d31-e47  | a68-c60-d7-e100  |  b75-c75-d88-e86  |
|  a79-b22-c99-d69  | a66-b44-c56-e25  |  a72-b59-d31-e53  |  a68-c60-d8-e58  |  b75-c75-d88-e94  |
|   a79-b28-c18-d8  | a66-b44-c56-e55  |  a72-b59-d31-e63  | a68-c60-d8-e100  |   b75-c80-d1-e21  |
|   a79-b28-c18-d9  | a66-b44-c56-e73  |   a72-b59-d72-e1  |  a68-c60-d9-e58  |   b75-c80-d1-e51  |
|  a79-b28-c18-d57  | a66-b46-c16-e30  |  a72-b59-d72-e10  | a68-c60-d9-e100  |   b75-c80-d1-e75  |
|  a79-b28-c18-d61  | a66-b46-c16-e73  |  a72-b59-d72-e28  | a68-c60-d57-e58  |   b75-c80-d1-e86  |
|   a79-b28-c27-d8  | a66-b46-c34-e73  |  a72-b59-d72-e35  | a68-c60-d57-e100 |   b75-c80-d1-e92  |
|   a79-b28-c27-d9  | a66-b46-c56-e30  |  a72-b59-d72-e53  | a68-c60-d58-e58  |   b75-c80-d1-e94  |
|  a79-b28-c27-d49  | a66-b46-c56-e73  |  a72-b59-d72-e63  | a68-c60-d58-e100 |  b75-c80-d16-e21  |
|  a79-b28-c27-d57  | a66-b49-c55-e21  |  a72-b64-d72-e10  | a68-c60-d61-e58  |  b75-c80-d16-e51  |
|  a79-b28-c27-d61  | a66-b49-c55-e30  |  a72-b64-d72-e14  | a68-c60-d61-e100 |  b75-c80-d16-e75  |
|   a79-b28-c69-d8  | a66-b49-c55-e51  |  a72-b64-d72-e28  | a68-c60-d80-e58  |  b75-c80-d16-e86  |
|   a79-b28-c69-d9  | a66-b49-c55-e75  |  a72-b64-d72-e35  | a68-c60-d80-e100 |  b75-c80-d16-e94  |
|  a79-b28-c69-d49  | a66-b49-c56-e30  |  a72-b64-d72-e53  |  a68-c69-d7-e58  |  b75-c80-d17-e21  |
|  a79-b28-c69-d57  | a66-b49-c56-e51  |  a72-b64-d72-e63  |  a68-c69-d7-e60  |  b75-c80-d17-e51  |
|  a79-b28-c69-d61  | a66-b49-c56-e75  |  a72-b64-d79-e14  | a68-c69-d7-e100  |  b75-c80-d17-e75  |
|   a79-b28-c71-d8  | a66-b49-c80-e21  |  a72-b64-d79-e28  |  a68-c69-d8-e57  |  b75-c80-d17-e94  |
|   a79-b28-c71-d9  | a66-b49-c80-e51  |  a72-b64-d79-e63  |  a68-c69-d8-e58  |  b75-c80-d26-e21  |
|  a79-b28-c71-d57  | a66-b49-c80-e75  |  a72-b68-d14-e14  |  a68-c69-d8-e60  |  b75-c80-d26-e25  |
|  a79-b28-c71-d61  | a66-b53-c16-e30  |  a72-b68-d31-e14  |  a68-c69-d8-e91  |  b75-c80-d26-e42  |
|   a79-b28-c74-d8  | a66-b53-c16-e73  |  a72-b68-d31-e53  | a68-c69-d8-e100  |  b75-c80-d26-e51  |
|   a79-b28-c74-d9  | a66-b53-c34-e73  |  a72-b68-d31-e63  |  a68-c69-d9-e57  |  b75-c80-d26-e75  |
|  a79-b28-c74-d49  | a66-b53-c56-e30  |  a72-b68-d72-e14  |  a68-c69-d9-e58  |  b75-c80-d26-e86  |
|  a79-b28-c74-d57  | a66-b53-c56-e73  |  a72-b68-d72-e28  |  a68-c69-d9-e91  |  b75-c80-d26-e92  |
|  a79-b28-c74-d61  | a66-b75-c14-e21  |  a72-b68-d72-e53  | a68-c69-d9-e100  |  b75-c80-d26-e94  |
|   a79-b28-c76-d9  | a66-b75-c14-e25  |  a72-b68-d72-e63  | a68-c69-d57-e57  |  b75-c80-d41-e25  |
|  a79-b28-c76-d49  | a66-b75-c14-e42  |  a72-b68-d79-e14  | a68-c69-d57-e58  |  b75-c80-d41-e42  |
|   a79-b28-c98-d9  | a66-b75-c14-e51  |  a72-b68-d79-e28  | a68-c69-d57-e60  |  b75-c80-d41-e51  |
|  a79-b28-c98-d49  | a66-b75-c14-e75  |  a72-b68-d79-e63  | a68-c69-d57-e91  |  b75-c80-d41-e75  |
|   a79-b65-c18-d9  | a66-b75-c55-e21  |  a72-b71-d14-e14  | a68-c69-d57-e98  |  b75-c80-d41-e92  |
|   a79-b65-c27-d9  | a66-b75-c55-e30  |  a72-b71-d14-e22  | a68-c69-d57-e100 |  b75-c80-d51-e21  |
|  a79-b65-c27-d49  | a66-b75-c55-e51  |  a72-b71-d31-e14  | a68-c69-d58-e58  |  b75-c80-d51-e51  |
|  a79-b65-c63-d49  | a66-b75-c55-e75  |  a72-b71-d31-e22  | a68-c69-d58-e100 |  b75-c80-d51-e75  |
|  a79-b65-c63-d69  | a66-b75-c56-e25  |  a72-b71-d31-e47  | a68-c69-d61-e57  |  b75-c80-d88-e21  |
|   a79-b65-c69-d9  | a66-b75-c56-e30  |  a72-b71-d31-e63  | a68-c69-d61-e58  |  b75-c80-d88-e51  |
|  a79-b65-c69-d49  | a66-b75-c56-e51  |  a72-b71-d72-e14  | a68-c69-d61-e91  |  b75-c80-d88-e75  |
|   a79-b65-c74-d9  | a66-b75-c56-e75  |  a72-b71-d72-e63  | a68-c69-d61-e100 |  b75-c80-d88-e86  |
|  a79-b65-c74-d49  | a66-b75-c80-e21  |  a72-b71-d79-e14  | a68-c69-d80-e57  |  b75-c80-d88-e94  |
|  a79-b65-c74-d69  | a66-b75-c80-e25  |  a72-b71-d79-e63  | a68-c69-d80-e58  |  b76-c35-d40-e44  |
|   a79-b65-c76-d9  | a66-b75-c80-e42  |  a72-b94-d31-e10  | a68-c69-d80-e60  |  b76-c35-d40-e49  |
|  a79-b65-c76-d49  | a66-b75-c80-e51  |  a72-b94-d31-e14  | a68-c69-d80-e100 |  b76-c35-d40-e82  |
|  a79-b65-c76-d69  | a66-b75-c80-e75  |  a72-b94-d31-e47  |  a68-c71-d7-e58  |  b76-c35-d63-e44  |
|   a79-b65-c98-d9  | a66-b78-c14-e25  |  a72-b94-d31-e53  |  a68-c71-d7-e60  |  b76-c35-d63-e49  |
|  a79-b65-c98-d49  | a66-b78-c14-e42  |  a72-b94-d31-e63  |  a68-c71-d7-e76  |  b76-c35-d63-e82  |
|  a79-b65-c98-d69  | a66-b78-c14-e51  |   a72-b94-d72-e1  | a68-c71-d7-e100  |  b76-c35-d66-e44  |
|  a79-b65-c99-d69  | a66-b78-c14-e55  |  a72-b94-d72-e10  |  a68-c71-d8-e57  |  b76-c35-d66-e82  |
|   a80-b1-c28-d13  | a66-b95-c14-e25  |  a72-b94-d72-e14  |  a68-c71-d8-e58  |  b76-c44-d40-e44  |
|   a80-b1-c28-d48  | a66-b95-c14-e55  |  a72-b94-d72-e28  |  a68-c71-d8-e60  |  b76-c44-d40-e49  |
|   a80-b1-c28-d65  | a66-b95-c16-e30  |  a72-b94-d72-e35  |  a68-c71-d8-e91  |  b76-c44-d40-e82  |
|   a80-b1-c28-d75  | a66-b95-c16-e73  |  a72-b94-d72-e53  | a68-c71-d8-e100  |  b76-c44-d63-e44  |
|  a80-b1-c28-d100  | a66-b95-c34-e55  |  a72-b94-d72-e63  |  a68-c71-d9-e57  |  b76-c44-d63-e49  |
|   a80-b1-c30-d13  | a66-b95-c34-e73  |  a72-b94-d79-e14  |  a68-c71-d9-e58  |  b76-c44-d63-e82  |
|   a80-b1-c30-d48  | a66-b95-c56-e25  |  a72-b94-d79-e28  |  a68-c71-d9-e91  |  b76-c44-d66-e44  |
|   a80-b1-c30-d75  | a66-b95-c56-e30  |  a72-b94-d79-e63  | a68-c71-d9-e100  |  b76-c44-d66-e82  |
|  a80-b1-c30-d100  | a66-b95-c56-e55  |  a73-b41-d22-e15  | a68-c71-d44-e57  |  b76-c57-d40-e44  |
|   a80-b1-c53-d13  | a66-b95-c56-e73  |  a73-b41-d22-e68  | a68-c71-d44-e60  |  b76-c57-d40-e49  |
|   a80-b1-c53-d48  |   a67-b7-c3-e2   |  a73-b41-d22-e97  | a68-c71-d44-e76  |  b76-c57-d40-e82  |
|   a80-b1-c53-d65  |  a67-b7-c3-e20   |  a73-b41-d45-e15  | a68-c71-d44-e91  |  b76-c57-d63-e44  |
|   a80-b1-c53-d75  |  a67-b7-c3-e46   |  a73-b41-d45-e68  | a68-c71-d57-e57  |  b76-c57-d63-e49  |
|  a80-b1-c53-d100  |  a67-b7-c3-e84   |  a73-b41-d45-e97  | a68-c71-d57-e58  |  b76-c57-d63-e82  |
|   a80-b1-c82-d13  |   a67-b7-c7-e2   |  a73-b41-d50-e15  | a68-c71-d57-e60  |  b76-c57-d66-e44  |
|   a80-b1-c82-d48  |  a67-b7-c7-e20   |  a73-b41-d50-e68  | a68-c71-d57-e76  |  b76-c57-d66-e82  |
|   a80-b1-c82-d75  |  a67-b7-c7-e46   |  a73-b41-d50-e97  | a68-c71-d57-e91  |  b76-c62-d40-e44  |
|  a80-b1-c82-d100  |  a67-b7-c7-e84   |  a73-b41-d65-e68  | a68-c71-d57-e100 |  b76-c62-d40-e49  |
|  a80-b34-c28-d13  |  a67-b7-c51-e5   |  a73-b41-d65-e97  | a68-c71-d58-e58  |  b76-c62-d40-e82  |
|  a80-b34-c28-d48  |  a67-b7-c51-e6   |  a73-b57-d22-e15  | a68-c71-d58-e100 |  b76-c62-d63-e44  |
|  a80-b34-c28-d75  |  a67-b7-c51-e20  |  a73-b57-d22-e68  | a68-c71-d61-e57  |  b76-c62-d63-e49  |
|  a80-b34-c28-d100 |  a67-b7-c51-e96  |  a73-b57-d22-e97  | a68-c71-d61-e58  |  b76-c62-d63-e82  |
|  a80-b34-c30-d13  |  a67-b7-c59-e2   |  a73-b57-d43-e15  | a68-c71-d61-e91  |  b76-c62-d66-e44  |
|  a80-b34-c30-d48  |  a67-b7-c59-e5   |  a73-b57-d43-e68  | a68-c71-d61-e100 |  b76-c62-d66-e82  |
|  a80-b34-c30-d75  |  a67-b7-c59-e6   |  a73-b57-d43-e97  | a68-c71-d64-e60  |  b76-c78-d40-e44  |
|  a80-b34-c30-d100 |  a67-b7-c59-e20  |  a73-b57-d45-e15  | a68-c71-d64-e76  |  b76-c78-d40-e49  |
|  a80-b34-c53-d13  |  a67-b7-c59-e46  |  a73-b57-d45-e68  | a68-c71-d80-e57  |  b76-c78-d40-e82  |
|  a80-b34-c53-d48  |  a67-b7-c59-e84  |  a73-b57-d45-e97  | a68-c71-d80-e58  |  b76-c78-d63-e44  |
|  a80-b34-c53-d75  |  a67-b7-c59-e96  |  a73-b57-d50-e15  | a68-c71-d80-e60  |  b76-c78-d63-e49  |
|  a80-b34-c53-d100 |  a67-b7-c88-e5   |  a73-b57-d50-e68  | a68-c71-d80-e76  |  b76-c78-d63-e82  |
|  a80-b34-c82-d13  |  a67-b7-c88-e20  |  a73-b57-d50-e97  | a68-c71-d80-e100 |  b76-c78-d66-e44  |
|  a80-b34-c82-d48  |  a67-b7-c88-e46  |  a73-b57-d65-e68  |  a68-c74-d8-e57  |  b76-c78-d66-e82  |
|  a80-b34-c82-d75  |  a67-b7-c88-e96  |  a73-b57-d65-e97  |  a68-c74-d8-e58  |  b76-c79-d40-e44  |
|  a80-b34-c82-d100 |  a67-b27-c3-e2   |  a73-b61-d33-e88  |  a68-c74-d8-e91  |  b76-c79-d40-e49  |
|  a80-b41-c28-d13  |  a67-b27-c3-e20  |  a73-b61-d33-e99  | a68-c74-d8-e100  |  b76-c79-d40-e82  |
|  a80-b41-c28-d48  |  a67-b27-c3-e46  |  a73-b61-d43-e88  |  a68-c74-d9-e57  |  b76-c79-d63-e44  |
|  a80-b41-c28-d65  |  a67-b27-c3-e84  |  a73-b61-d43-e97  |  a68-c74-d9-e58  |  b76-c79-d63-e49  |
|  a80-b41-c28-d75  |  a67-b27-c51-e5  |  a73-b61-d43-e99  |  a68-c74-d9-e91  |  b76-c79-d63-e82  |
|  a80-b41-c30-d13  |  a67-b27-c51-e6  |  a73-b61-d65-e45  | a68-c74-d9-e100  |  b76-c79-d66-e44  |
|  a80-b41-c30-d48  | a67-b27-c51-e20  |  a73-b61-d65-e97  | a68-c74-d57-e57  |  b76-c79-d66-e82  |
|  a80-b41-c30-d75  | a67-b27-c51-e96  |  a73-b61-d93-e45  | a68-c74-d57-e58  |  b76-c90-d63-e44  |
|  a80-b41-c53-d13  |  a67-b27-c59-e2  |  a73-b83-d22-e15  | a68-c74-d57-e91  |  b76-c90-d63-e49  |
|  a80-b41-c53-d48  |  a67-b27-c59-e5  |  a73-b83-d22-e68  | a68-c74-d57-e98  |  b76-c90-d63-e82  |
|  a80-b41-c53-d65  |  a67-b27-c59-e6  |  a73-b83-d22-e97  | a68-c74-d57-e100 |  b76-c90-d66-e44  |
|  a80-b41-c53-d75  | a67-b27-c59-e20  |  a73-b83-d43-e15  | a68-c74-d61-e57  |  b76-c90-d66-e82  |
|  a80-b41-c81-d13  | a67-b27-c59-e46  |  a73-b83-d43-e68  | a68-c74-d61-e58  |  b77-c35-d18-e13  |
|  a80-b41-c81-d48  | a67-b27-c59-e84  |  a73-b83-d43-e97  | a68-c74-d61-e91  |  b77-c35-d18-e44  |
|  a80-b41-c81-d65  | a67-b27-c59-e96  |  a73-b83-d45-e15  | a68-c74-d61-e100 |  b77-c35-d18-e49  |
|   a80-b48-c9-d13  |  a67-b27-c88-e5  |  a73-b83-d45-e68  |  a68-c83-d7-e58  |  b77-c35-d18-e65  |
|   a80-b48-c9-d70  | a67-b27-c88-e20  |  a73-b83-d45-e97  |  a68-c83-d7-e60  |  b77-c35-d40-e44  |
|  a80-b48-c28-d13  | a67-b27-c88-e46  |  a73-b83-d50-e15  |  a68-c83-d7-e76  |  b77-c35-d40-e49  |
|  a80-b48-c28-d70  | a67-b27-c88-e96  |  a73-b83-d50-e68  | a68-c83-d7-e100  |  b77-c35-d40-e65  |
|  a80-b48-c28-d100 |  a67-b43-c51-e5  |  a73-b83-d50-e97  |  a68-c83-d8-e57  |  b77-c35-d40-e82  |
|   a80-b48-c61-d4  |  a67-b43-c51-e6  |  a73-b83-d65-e68  |  a68-c83-d8-e58  |  b77-c35-d63-e13  |
|  a80-b48-c61-d13  | a67-b43-c51-e20  |  a73-b83-d65-e97  |  a68-c83-d8-e60  |  b77-c35-d63-e44  |
|  a80-b48-c61-d70  | a67-b43-c51-e96  |  a73-b85-d33-e88  | a68-c83-d8-e100  |  b77-c35-d63-e49  |
|  a80-b48-c61-d81  |  a67-b43-c59-e5  |  a73-b85-d33-e99  |  a68-c83-d9-e57  |  b77-c35-d63-e65  |
|  a80-b48-c61-d100 |  a67-b43-c59-e6  |  a73-b85-d43-e88  |  a68-c83-d9-e58  |  b77-c35-d63-e82  |
|   a80-b48-c73-d4  | a67-b43-c59-e20  |  a73-b85-d43-e97  | a68-c83-d9-e100  |  b77-c40-d18-e13  |
|  a80-b48-c73-d13  | a67-b43-c59-e46  |  a73-b85-d43-e99  | a68-c83-d57-e57  |  b77-c40-d18-e44  |
|  a80-b48-c73-d70  | a67-b43-c59-e96  |  a73-b85-d50-e97  | a68-c83-d57-e58  |  b77-c40-d18-e49  |
|  a80-b48-c73-d81  |  a67-b43-c88-e5  |  a73-b85-d65-e45  | a68-c83-d57-e60  |  b77-c40-d18-e65  |
|  a80-b48-c73-d100 | a67-b43-c88-e20  |  a73-b85-d65-e97  | a68-c83-d57-e76  |  b77-c40-d40-e44  |
|  a80-b48-c86-d13  | a67-b43-c88-e46  |  a73-b85-d93-e45  | a68-c83-d57-e100 |  b77-c40-d40-e49  |
|  a80-b48-c86-d70  | a67-b43-c88-e96  |  a73-b100-d22-e15 | a68-c83-d58-e58  |  b77-c40-d40-e65  |
|  a80-b48-c86-d81  |  a67-b82-c3-e2   |  a73-b100-d22-e68 | a68-c83-d58-e100 |  b77-c40-d63-e13  |
|  a80-b48-c86-d100 |  a67-b82-c3-e20  |  a73-b100-d22-e97 | a68-c83-d61-e57  |  b77-c40-d63-e44  |
|  a80-b48-c89-d13  |  a67-b82-c3-e46  |  a73-b100-d45-e15 | a68-c83-d61-e58  |  b77-c40-d63-e49  |
|  a80-b48-c89-d70  |  a67-b82-c3-e84  |  a73-b100-d45-e68 | a68-c83-d61-e100 |  b77-c40-d63-e65  |
|  a80-b48-c89-d81  |  a67-b82-c7-e2   |  a73-b100-d45-e97 | a68-c83-d64-e60  |  b77-c44-d18-e13  |
|  a80-b90-c28-d13  |  a67-b82-c7-e20  |  a73-b100-d50-e15 | a68-c83-d64-e76  |  b77-c44-d18-e44  |
|  a80-b90-c28-d48  |  a67-b82-c7-e46  |  a73-b100-d50-e68 | a68-c83-d80-e57  |  b77-c44-d18-e49  |
|  a80-b90-c28-d75  |  a67-b82-c7-e84  |  a73-b100-d50-e97 | a68-c83-d80-e58  |  b77-c44-d18-e65  |
|  a80-b90-c28-d100 |  a67-b82-c59-e2  |  a73-b100-d65-e68 | a68-c83-d80-e60  |  b77-c44-d40-e44  |
|  a80-b90-c30-d13  | a67-b82-c59-e20  |  a73-b100-d65-e97 | a68-c83-d80-e76  |  b77-c44-d40-e49  |
|  a80-b90-c30-d48  | a67-b82-c59-e46  |   a74-b19-d36-e4  | a68-c83-d80-e100 |  b77-c44-d40-e65  |
|  a80-b90-c30-d75  | a67-b82-c59-e84  |  a74-b19-d36-e40  |  a68-c94-d7-e58  |  b77-c44-d40-e82  |
|  a80-b90-c30-d100 | a67-b82-c59-e96  |  a74-b19-d36-e67  | a68-c94-d7-e100  |  b77-c44-d63-e13  |
|  a80-b90-c53-d13  | a67-b82-c88-e20  |   a74-b19-d38-e4  |  a68-c94-d8-e58  |  b77-c44-d63-e44  |
|  a80-b90-c53-d48  | a67-b82-c88-e46  |  a74-b19-d38-e31  | a68-c94-d8-e100  |  b77-c44-d63-e49  |
|  a80-b90-c53-d75  | a67-b82-c88-e96  |  a74-b19-d38-e40  |  a68-c94-d9-e58  |  b77-c44-d63-e65  |
|  a80-b90-c53-d100 |  a68-b8-c18-e57  |  a74-b19-d38-e67  | a68-c94-d9-e100  |  b77-c44-d63-e82  |
|  a80-b90-c82-d13  |  a68-b8-c18-e58  |  a74-b19-d38-e74  | a68-c94-d57-e58  |  b77-c62-d40-e44  |
|  a80-b90-c82-d48  |  a68-b8-c18-e91  |   a74-b19-d76-e4  | a68-c94-d57-e100 |  b77-c62-d40-e49  |
|  a80-b90-c82-d75  |  a68-b8-c18-e98  |  a74-b19-d76-e31  | a68-c94-d58-e58  |  b77-c62-d40-e82  |
|  a80-b90-c82-d100 | a68-b8-c18-e100  |  a74-b19-d76-e40  | a68-c94-d58-e100 |  b77-c62-d63-e44  |
|  a80-b100-c9-d13  |  a68-b8-c27-e57  |  a74-b19-d76-e67  | a68-c94-d61-e58  |  b77-c62-d63-e49  |
|  a80-b100-c9-d48  |  a68-b8-c27-e58  |  a74-b19-d76-e74  | a68-c94-d61-e100 |  b77-c62-d63-e82  |
|  a80-b100-c9-d65  |  a68-b8-c27-e91  |   a74-b51-d36-e4  | a68-c94-d80-e58  |  b77-c78-d18-e13  |
|  a80-b100-c9-d70  |  a68-b8-c27-e98  |  a74-b51-d36-e40  | a68-c94-d80-e100 |  b77-c78-d18-e44  |
|  a80-b100-c12-d13 | a68-b8-c27-e100  |  a74-b51-d36-e59  |  a69-c23-d10-e3  |  b77-c78-d18-e49  |
|  a80-b100-c12-d65 |  a68-b8-c69-e57  |   a74-b51-d78-e4  | a69-c23-d10-e17  |  b77-c78-d18-e65  |
|  a80-b100-c12-d70 |  a68-b8-c69-e58  |  a74-b51-d78-e40  | a69-c23-d10-e77  |  b77-c78-d40-e44  |
|  a80-b100-c28-d13 |  a68-b8-c69-e91  |  a74-b51-d78-e59  |  a69-c23-d14-e3  |  b77-c78-d40-e49  |
|  a80-b100-c28-d48 |  a68-b8-c69-e98  |   a74-b52-d36-e4  | a69-c23-d14-e77  |  b77-c78-d40-e65  |
|  a80-b100-c28-d65 | a68-b8-c69-e100  |  a74-b52-d36-e34  | a69-c23-d25-e17  |  b77-c78-d40-e82  |
|  a80-b100-c28-d70 |  a68-b8-c74-e57  |  a74-b52-d36-e40  | a69-c23-d25-e77  |  b77-c78-d63-e13  |
|  a80-b100-c28-d75 |  a68-b8-c74-e58  |  a74-b52-d36-e59  |  a69-c23-d60-e3  |  b77-c78-d63-e44  |
| a80-b100-c28-d100 |  a68-b8-c74-e91  |  a74-b52-d36-e67  | a69-c23-d60-e77  |  b77-c78-d63-e49  |
|  a80-b100-c30-d13 |  a68-b8-c74-e98  |   a74-b52-d38-e4  |  a69-c23-d94-e3  |  b77-c78-d63-e65  |
|  a80-b100-c30-d48 | a68-b8-c74-e100  |  a74-b52-d38-e34  | a69-c23-d94-e17  |  b77-c78-d63-e82  |
|  a80-b100-c30-d75 | a68-b14-c18-e57  |  a74-b52-d38-e40  | a69-c23-d94-e77  |  b77-c79-d18-e13  |
| a80-b100-c30-d100 | a68-b14-c18-e58  |  a74-b52-d38-e59  | a69-c24-d10-e17  |  b77-c79-d18-e44  |
|  a80-b100-c53-d13 | a68-b14-c18-e91  |  a74-b52-d38-e67  | a69-c24-d10-e77  |  b77-c79-d18-e49  |
|  a80-b100-c53-d48 | a68-b14-c18-e98  |   a74-b52-d78-e4  | a69-c24-d25-e17  |  b77-c79-d18-e65  |
|  a80-b100-c53-d65 | a68-b14-c18-e100 |  a74-b52-d78-e40  | a69-c24-d25-e77  |  b77-c79-d40-e44  |
|  a80-b100-c53-d75 | a68-b14-c27-e57  |  a74-b52-d78-e59  | a69-c24-d60-e77  |  b77-c79-d40-e49  |
| a80-b100-c53-d100 | a68-b14-c27-e58  |   a74-b54-d36-e4  |  a69-c37-d10-e3  |  b77-c79-d40-e65  |
|  a80-b100-c81-d13 | a68-b14-c27-e91  |  a74-b54-d36-e34  | a69-c37-d10-e77  |  b77-c79-d40-e82  |
|  a80-b100-c81-d48 | a68-b14-c27-e98  |  a74-b54-d36-e40  |  a69-c37-d14-e3  |  b77-c79-d63-e13  |
|  a80-b100-c81-d65 | a68-b14-c27-e100 |  a74-b54-d36-e59  | a69-c37-d14-e77  |  b77-c79-d63-e44  |
|  a80-b100-c81-d70 | a68-b14-c69-e57  |  a74-b54-d36-e67  |  a69-c37-d60-e3  |  b77-c79-d63-e49  |
|   a81-b9-c4-d72   | a68-b14-c69-e58  |   a74-b54-d38-e4  | a69-c37-d60-e77  |  b77-c79-d63-e65  |
|   a81-b9-c15-d72  | a68-b14-c69-e91  |  a74-b54-d38-e31  |  a69-c37-d94-e3  |  b77-c79-d63-e82  |
|   a81-b9-c33-d72  | a68-b14-c69-e98  |  a74-b54-d38-e34  | a69-c37-d94-e77  |   b78-c5-d3-e55   |
|   a81-b17-c4-d28  | a68-b14-c69-e100 |  a74-b54-d38-e40  |  a69-c42-d10-e3  |   b78-c5-d27-e55  |
