+--------------+---------------+--------------+--------------+--------------+--------------+---------------+--------------+---------------+--------------+
|    a-b-c     |     a-b-d     |    a-b-e     |    a-c-d     |    a-c-e     |    a-d-e     |     b-c-d     |    b-c-e     |     b-d-e     |    c-d-e     |
|  a2-b7-c53   |   a2-b41-d75  |  a2-b1-e20   |  a2-c59-d73  |  a1-c80-e86  |  a2-d75-e46  |   b3-c51-d82  |  b4-c11-e31  |   b2-d15-e85  |  c2-d73-e29  |
|  a2-b7-c59   |   a2-b41-d86  |  a2-b1-e29   |  a2-c59-d84  |  a1-c80-e92  |  a2-d75-e68  |   b3-c51-d87  |  b4-c11-e70  |   b2-d15-e93  |  c2-d73-e68  |
|  a2-b7-c88   |   a2-b41-d97  |  a2-b1-e46   |  a2-c59-d86  |  a1-c80-e94  |  a2-d75-e96  |   b3-c51-d97  |  b4-c11-e74  |   b2-d35-e23  |  c2-d73-e96  |
|  a2-b27-c51  |   a2-b43-d22  |  a2-b1-e68   |  a2-c59-d97  |   a2-c2-e5   |  a2-d84-e5   |   b3-c70-d19  |  b4-c16-e38  |   b2-d35-e76  |  c2-d82-e5   |
|  a2-b27-c59  |   a2-b43-d37  |   a2-b7-e5   |  a2-c88-d22  |  a2-c2-e15   |  a2-d84-e6   |   b3-c70-d21  |  b4-c16-e39  |   b2-d35-e85  |  c2-d82-e15  |
|  a2-b27-c88  |   a2-b43-d45  |   a2-b7-e6   |  a2-c88-d45  |  a2-c2-e20   |  a2-d84-e20  |   b3-c70-d23  |  b4-c16-e43  |   b2-d64-e23  |  c2-d82-e37  |
|  a2-b34-c30  |   a2-b43-d50  |  a2-b7-e20   |  a2-c88-d48  |  a2-c2-e29   |  a2-d84-e46  |   b3-c70-d53  |  b4-c16-e56  |   b2-d64-e76  |  c2-d86-e5   |
|  a2-b34-c31  |   a2-b43-d73  |  a2-b7-e29   |  a2-c88-d50  |  a2-c2-e68   |  a2-d84-e96  |   b3-c70-d82  |  b4-c16-e70  |   b2-d64-e85  |  c2-d86-e15  |
|  a2-b34-c53  |   a2-b43-d84  |  a2-b7-e46   |  a2-c88-d73  |  a2-c2-e96   |  a2-d86-e5   |   b3-c70-d87  |  b4-c16-e73  |   b2-d74-e23  |  c2-d86-e20  |
|  a2-b34-c88  |   a2-b43-d86  |  a2-b7-e68   |  a2-c88-d75  |  a2-c19-e15  |  a2-d86-e6   |   b3-c97-d19  |  b4-c26-e16  |   b2-d74-e76  |  c2-d86-e29  |
|  a2-b41-c2   |   a2-b43-d97  |  a2-b7-e96   |  a2-c88-d84  |  a2-c19-e29  |  a2-d86-e15  |   b3-c97-d21  |  b4-c26-e31  |   b2-d74-e85  |  c2-d86-e37  |
|  a2-b41-c19  |   a2-b57-d22  |  a2-b27-e5   |  a2-c88-d86  |  a2-c19-e68  |  a2-d86-e20  |   b3-c97-d23  |  b4-c26-e38  |   b2-d74-e93  |  c2-d86-e68  |
|  a2-b41-c30  |   a2-b57-d45  |  a2-b27-e6   |  a2-c88-d97  |  a2-c19-e96  |  a2-d86-e29  |   b3-c97-d37  |  b4-c26-e70  |   b2-d92-e23  |  c2-d86-e96  |
|  a2-b41-c31  |   a2-b57-d48  |  a2-b27-e20  |  a3-c35-d18  |  a2-c30-e20  |  a2-d86-e68  |   b3-c97-d53  |  b4-c26-e74  |   b2-d92-e76  |  c2-d86-e97  |
|  a2-b41-c51  |   a2-b57-d50  |  a2-b27-e46  |  a3-c35-d31  |  a2-c30-e29  |  a2-d86-e96  |   b3-c97-d82  |  b4-c34-e16  |   b2-d92-e85  |  c2-d90-e15  |
|  a2-b41-c53  |   a2-b57-d86  |  a2-b27-e96  |  a3-c35-d63  |  a2-c30-e46  |  a2-d97-e5   |   b3-c97-d87  |  b4-c34-e38  |   b2-d92-e93  |  c2-d90-e37  |
|  a2-b41-c59  |   a2-b82-d48  |  a2-b34-e20  |  a3-c35-d66  |  a2-c30-e68  |  a2-d97-e6   |   b3-c97-d97  |  b4-c34-e39  |   b3-d19-e5   |  c2-d90-e48  |
|  a2-b41-c88  |   a2-b82-d73  |  a2-b34-e29  |  a3-c37-d14  |  a2-c31-e5   |  a2-d97-e15  |   b4-c11-d2   |  b4-c34-e43  |   b3-d19-e6   |  c2-d90-e97  |
|  a2-b43-c2   |   a2-b82-d75  |  a2-b34-e46  |  a3-c37-d60  |  a2-c31-e15  |  a2-d97-e20  |   b4-c11-d3   |  b4-c34-e55  |   b3-d19-e11  |  c2-d97-e5   |
|  a2-b43-c19  |   a2-b82-d84  |  a2-b34-e68  |  a3-c37-d66  |  a2-c31-e20  |  a2-d97-e96  |   b4-c11-d27  |  b4-c34-e56  |   b3-d19-e37  |  c2-d97-e15  |
|  a2-b43-c31  |   a2-b83-d22  |  a2-b34-e96  |  a3-c37-d94  |  a2-c31-e29  |  a3-d14-e3   |   b4-c11-d47  |  b4-c34-e70  |   b3-d19-e81  |  c2-d97-e20  |
|  a2-b43-c51  |   a2-b83-d45  |  a2-b41-e15  |  a3-c39-d14  |  a2-c31-e46  |  a3-d14-e22  |   b4-c26-d2   |  b4-c34-e73  |   b3-d21-e5   |  c2-d97-e37  |
|  a2-b43-c53  |   a2-b83-d48  |  a2-b41-e20  |  a3-c39-d18  |  a2-c31-e68  |  a3-d18-e13  |   b4-c26-d3   |  b4-c49-e16  |   b3-d21-e6   |  c2-d97-e96  |
|  a2-b43-c59  |   a2-b83-d50  |  a2-b41-e29  |  a3-c39-d31  |  a2-c31-e96  |  a3-d18-e22  |   b4-c26-d27  |  b4-c49-e38  |   b3-d21-e11  |  c3-d11-e27  |
