+--------------+---------------+--------------+--------------+--------------+--------------+---------------+--------------+---------------+--------------+
|    a-b-c     |     a-b-d     |    a-b-e     |    a-c-d     |    a-c-e     |    a-d-e     |     b-c-d     |    b-c-e     |     b-d-e     |    c-d-e     |
| a47-b72-c54  |  a46-b47-d79  | a41-b43-e37  | a44-c74-d57  | a39-c18-e98  |  a43-d6-e99  |  b48-c86-d13  | b42-c61-e41  |  b47-d94-e17  | c45-d43-e88  |
|  a48-b3-c17  |  a46-b47-d94  |  a41-b93-e5  | a44-c74-d61  |  a39-c47-e8  | a43-d33-e32  |  b48-c86-d46  | b42-c61-e72  |  b47-d94-e77  | c45-d43-e97  |
|  a48-b3-c51  |  a46-b55-d32  |  a41-b93-e6  | a44-c91-d32  |  a39-c47-e9  | a43-d33-e83  |  b48-c86-d69  | b42-c63-e41  |   b48-d4-e36  | c45-d43-e99  |
|  a48-b3-c97  |  a46-b55-d39  | a41-b93-e11  | a44-c91-d39  | a39-c47-e12  | a43-d33-e88  |  b48-c86-d70  | b42-c73-e41  |   b48-d4-e41  | c45-d50-e97  |
| a48-b27-c51  |  a46-b55-d42  | a41-b93-e15  | a44-c91-d42  | a39-c47-e61  | a43-d33-e99  |  b48-c86-d81  | b42-c73-e72  |   b48-d4-e52  | c45-d67-e88  |
| a48-b27-c59  |  a46-b68-d14  | a41-b93-e37  | a44-c91-d44  | a39-c47-e98  | a43-d43-e48  |  b48-c86-d100 | b42-c84-e41  |   b48-d4-e72  | c45-d67-e99  |
| a48-b43-c51  |  a46-b68-d32  | a42-b12-e13  | a44-c91-d54  |  a39-c63-e9  | a43-d43-e88  |  b48-c89-d13  | b42-c84-e69  |   b48-d4-e90  | c45-d90-e48  |
| a48-b43-c59  |  a46-b68-d79  | a42-b12-e44  | a45-c17-d19  | a39-c63-e12  | a43-d43-e99  |  b48-c89-d46  | b42-c84-e72  |  b48-d13-e36  | c45-d90-e97  |
| a48-b93-c51  |  a46-b71-d14  | a42-b12-e47  | a45-c17-d21  | a39-c63-e24  | a43-d67-e32  |  b48-c89-d69  | b42-c99-e69  |  b48-d13-e41  |  c46-d20-e7  |
| a48-b93-c59  |  a46-b71-d79  | a42-b12-e49  | a45-c17-d23  | a39-c63-e98  | a43-d67-e83  |  b48-c89-d70  | b42-c99-e71  |  b48-d13-e52  | c46-d20-e62  |
| a48-b93-c97  |  a46-b71-d94  | a42-b12-e65  | a45-c17-d53  |  a39-c74-e9  | a43-d67-e88  |  b48-c89-d81  |  b43-c2-e5   |  b48-d13-e64  | c46-d20-e89  |
|  a49-b40-c4  |  a46-b88-d25  | a42-b29-e49  | a45-c17-d82  | a39-c74-e12  | a43-d67-e99  |  b49-c22-d16  |  b43-c2-e15  |  b48-d24-e41  |  c46-d25-e7  |
| a49-b40-c23  |  a46-b88-d32  | a42-b29-e65  | a45-c17-d87  | a39-c74-e24  |  a44-d8-e57  |  b49-c22-d17  |  b43-c2-e20  |  b48-d24-e52  | c46-d25-e17  |
| a49-b40-c37  |  a46-b88-d39  | a42-b35-e13  | a45-c36-d19  | a39-c74-e57  |  a44-d8-e58  |  b49-c22-d26  |  b43-c2-e29  |  b48-d24-e72  | c46-d25-e62  |
| a49-b40-c42  |  a46-b88-d42  | a42-b35-e49  | a45-c36-d21  | a39-c74-e91  |  a44-d8-e60  |  b49-c22-d88  |  b43-c2-e37  |  b48-d24-e90  |  c46-d56-e7  |
| a49-b40-c95  |   a47-b11-d5  | a42-b35-e65  | a45-c36-d23  | a39-c74-e98  |  a44-d8-e91  |  b49-c25-d12  |  b43-c2-e68  |  b48-d34-e41  | c46-d56-e17  |
|  a49-b47-c4  |  a47-b11-d15  | a42-b51-e13  | a45-c36-d53  |  a39-c76-e9  | a44-d8-e100  |  b49-c25-d17  |  b43-c2-e96  |  b48-d34-e72  | c46-d56-e62  |
| a49-b47-c23  |  a47-b11-d29  | a42-b51-e65  | a45-c36-d82  | a39-c76-e12  |  a44-d9-e57  |  b49-c25-d51  |  b43-c2-e97  |  b48-d34-e90  | c46-d56-e89  |
| a49-b47-c37  |  a47-b11-d91  | a42-b58-e13  | a45-c36-d87  | a39-c76-e24  |  a44-d9-e58  |  b49-c55-d12  | b43-c19-e15  |  b48-d46-e24  |  c46-d91-e7  |
| a49-b47-c42  |  a47-b11-d92  | a42-b58-e47  | a45-c36-d90  | a39-c76-e91  |  a44-d9-e91  |  b49-c55-d16  | b43-c19-e29  |  b48-d46-e36  | c46-d91-e62  |
| a49-b47-c95  |   a47-b21-d5  | a42-b58-e65  | a45-c70-d19  | a39-c76-e98  | a44-d9-e100  |  b49-c55-d17  | b43-c19-e37  |  b48-d46-e41  | c46-d91-e89  |
|  a49-b59-c4  |  a47-b21-d15  | a42-b59-e13  | a45-c70-d21  |  a39-c98-e9  |  a44-d32-e9  |  b49-c55-d26  | b43-c19-e68  |  b48-d69-e24  |  c47-d28-e8  |
| a49-b59-c15  |  a47-b21-d20  | a42-b59-e44  | a45-c70-d23  | a39-c98-e12  | a44-d32-e19  |  b49-c55-d51  | b43-c19-e96  |  b48-d69-e36  |  c47-d28-e9  |
| a49-b59-c39  |  a47-b21-d56  | a42-b59-e47  | a45-c70-d53  | a39-c98-e24  | a44-d32-e98  |  b49-c55-d88  | b43-c19-e97  |  b48-d70-e24  | c47-d28-e12  |
| a49-b59-c65  |  a47-b21-d91  | a42-b73-e13  | a45-c70-d82  | a39-c98-e91  |  a44-d39-e9  |  b49-c56-d26  |  b43-c31-e5  |  b48-d70-e36  | c47-d28-e28  |
| a49-b59-c95  |  a47-b37-d15  | a42-b73-e49  | a45-c70-d87  | a39-c98-e98  | a44-d39-e19  |  b49-c56-d51  | b43-c31-e15  |  b48-d70-e41  | c47-d28-e61  |
|  a49-b64-c4  |  a47-b37-d56  | a42-b73-e65  | a45-c70-d90  |  a39-c99-e8  | a44-d39-e57  |  b49-c80-d16  | b43-c31-e20  |  b48-d70-e52  | c47-d28-e69  |
| a49-b64-c15  |  a47-b37-d91  | a42-b77-e13  | a45-c97-d19  |  a39-c99-e9  | a44-d39-e91  |  b49-c80-d17  | b43-c31-e29  |  b48-d70-e64  | c47-d28-e71  |
|  a49-b68-c4  |   a47-b45-d5  | a42-b77-e44  | a45-c97-d21  | a39-c99-e12  | a44-d39-e98  |  b49-c80-d26  | b43-c31-e46  |  b48-d77-e41  | c47-d28-e98  |
| a49-b68-c15  |  a47-b45-d15  | a42-b77-e49  | a45-c97-d23  | a39-c99-e61  |  a44-d42-e9  |  b49-c80-d51  | b43-c31-e68  |  b48-d81-e24  |  c47-d32-e8  |
| a49-b68-c23  |  a47-b45-d20  | a42-b77-e65  | a45-c97-d53  | a39-c99-e98  | a44-d42-e19  |  b49-c80-d88  | b43-c31-e96  |  b48-d81-e36  |  c47-d32-e9  |
| a49-b68-c39  |  a47-b45-d56  | a42-b96-e13  | a45-c97-d82  | a40-c25-e30  | a44-d42-e57  |  b49-c96-d12  | b43-c31-e97  |  b48-d81-e41  | c47-d32-e61  |
| a49-b68-c95  |  a47-b45-d91  |  a43-b5-e32  | a45-c97-d87  | a40-c25-e50  | a44-d42-e60  |  b49-c96-d17  |  b43-c51-e5  |  b48-d81-e52  | c47-d32-e98  |
|  a49-b71-c4  |   a47-b56-d5  |  a43-b5-e83  |  a46-c8-d39  | a40-c25-e78  | a44-d42-e91  |  b49-c96-d51  |  b43-c51-e6  |  b48-d81-e72  |  c47-d39-e8  |
| a49-b71-c23  |  a47-b56-d15  |  a43-b5-e88  |  a46-c8-d42  | a40-c55-e21  | a44-d42-e98  |   b50-c1-d3   | b43-c51-e11  |  b48-d81-e90  |  c47-d39-e9  |
| a49-b71-c37  |  a47-b56-d20  |  a43-b5-e99  | a46-c23-d14  | a40-c55-e30  | a44-d44-e19  |   b50-c1-d27  | b43-c51-e15  |  b48-d85-e36  | c47-d39-e61  |
| a49-b71-c39  |  a47-b56-d29  | a43-b15-e32  | a46-c23-d25  | a40-c55-e51  | a44-d44-e57  |   b50-c1-d38  | b43-c51-e20  |  b48-d85-e41  | c47-d39-e98  |
| a49-b71-c42  |  a47-b56-d56  | a43-b15-e83  | a46-c23-d79  | a40-c55-e75  | a44-d44-e60  |   b50-c1-d76  | b43-c51-e37  |  b48-d85-e72  |  c47-d42-e8  |
| a49-b71-c65  |  a47-b56-d91  | a43-b15-e88  | a46-c23-d94  | a40-c55-e78  | a44-d44-e91  |   b50-c1-d89  | b43-c51-e96  |  b48-d85-e90  |  c47-d42-e9  |
| a49-b71-c95  |   a47-b72-d5  | a43-b15-e99  | a46-c24-d25  | a40-c56-e30  |  a44-d54-e9  |   b50-c5-d3   | b43-c53-e15  |  b48-d99-e41  | c47-d42-e61  |
|  a49-b94-c4  |  a47-b72-d15  | a43-b61-e32  | a46-c67-d32  | a40-c56-e51  | a44-d54-e12  |   b50-c5-d27  | b43-c53-e20  |  b48-d99-e72  | c47-d42-e98  |
| a49-b94-c15  |  a47-b72-d29  | a43-b61-e83  | a46-c67-d39  | a40-c56-e75  | a44-d54-e19  |   b50-c5-d38  | b43-c53-e29  |  b48-d100-e36 |  c47-d54-e8  |
| a49-b94-c39  |  a47-b72-d92  | a43-b61-e88  | a46-c67-d42  | a40-c64-e30  | a44-d54-e57  |   b50-c5-d41  | b43-c53-e46  |  b48-d100-e41 |  c47-d54-e9  |
| a49-b94-c65  |   a48-b3-d19  | a43-b61-e99  | a46-c91-d32  | a40-c64-e50  | a44-d54-e91  |   b50-c5-d59  | b43-c53-e68  |  b48-d100-e52 | c47-d54-e12  |
| a49-b94-c95  |   a48-b3-d21  | a43-b85-e83  | a46-c91-d39  | a40-c80-e21  | a44-d54-e98  |   b50-c5-d68  | b43-c53-e96  |  b48-d100-e64 | c47-d54-e61  |
| a50-b20-c63  |   a48-b3-d37  | a43-b85-e88  | a46-c91-d42  | a40-c80-e51  | a44-d57-e57  |   b50-c5-d76  |  b43-c59-e5  |  b48-d100-e72 | c47-d54-e98  |
| a50-b20-c84  |   a48-b3-d53  | a43-b85-e99  | a46-c91-d79  | a40-c80-e75  | a44-d57-e58  |   b50-c5-d89  |  b43-c59-e6  |  b48-d100-e90 |  c47-d77-e8  |
| a50-b20-c86  |   a48-b3-d82  |  a44-b8-e9   |  a47-c20-d5  | a40-c96-e30  | a44-d57-e60  |   b50-c5-d98  | b43-c59-e11  |  b49-d12-e30  |  c47-d77-e9  |
| a50-b20-c89  |   a48-b3-d87  |  a44-b8-e12  | a47-c20-d15  | a40-c96-e50  | a44-d57-e91  |   b50-c11-d3  | b43-c59-e15  |  b49-d12-e50  | c47-d77-e12  |
| a50-b20-c99  |   a48-b3-d97  |  a44-b8-e57  | a47-c20-d20  | a40-c96-e78  | a44-d57-e98  |  b50-c11-d27  | b43-c59-e20  |  b49-d12-e78  | c47-d77-e69  |
| a50-b24-c41  |  a48-b27-d37  |  a44-b8-e58  | a47-c20-d29  |  a41-c17-e5  | a44-d57-e100 |  b50-c11-d38  | b43-c59-e29  |  b49-d16-e21  | c47-d77-e71  |
| a50-b24-c63  |  a48-b27-d84  |  a44-b8-e91  | a47-c20-d56  | a41-c17-e11  | a44-d61-e57  |  b50-c11-d76  | b43-c59-e46  |  b49-d16-e51  | c47-d77-e98  |
| a50-b24-c84  |  a48-b27-d86  |  a44-b8-e98  | a47-c20-d91  | a41-c17-e37  | a44-d61-e58  |   b50-c21-d3  | b43-c59-e96  |  b49-d16-e75  |  c47-d83-e8  |
| a50-b24-c99  |  a48-b27-d97  | a44-b8-e100  | a47-c20-d92  |  a41-c36-e5  | a44-d61-e91  |  b50-c21-d27  |  b43-c88-e5  |  b49-d16-e78  |  c47-d83-e9  |
| a50-b39-c63  |  a48-b43-d19  | a44-b13-e19  | a47-c46-d20  | a41-c36-e11  | a44-d61-e100 |  b50-c21-d38  | b43-c88-e15  |  b49-d16-e94  | c47-d83-e12  |
| a50-b39-c99  |  a48-b43-d37  | a44-b13-e57  | a47-c46-d56  | a41-c36-e15  | a44-d80-e57  |  b50-c21-d76  | b43-c88-e20  |  b49-d17-e21  | c47-d83-e28  |
| a50-b42-c41  |  a48-b43-d82  | a44-b13-e60  | a47-c46-d91  | a41-c36-e37  | a44-d80-e58  |  b50-c21-d89  | b43-c88-e29  |  b49-d17-e30  | c47-d83-e61  |
| a50-b42-c61  |  a48-b43-d84  |  a44-b14-e9  |  a47-c54-d5  | a41-c36-e81  | a44-d80-e60  |  b50-c21-d98  | b43-c88-e46  |  b49-d17-e50  | c47-d83-e69  |
| a50-b42-c63  |  a48-b43-d86  | a44-b14-e12  | a47-c54-d15  |  a41-c51-e5  | a44-d80-e100 |   b50-c48-d3  | b43-c88-e68  |  b49-d17-e51  | c47-d83-e71  |
| a50-b42-c73  |  a48-b43-d97  | a44-b14-e57  | a47-c54-d56  |  a41-c51-e6  |  a45-d19-e5  |  b50-c48-d27  | b43-c88-e96  |  b49-d17-e75  | c47-d83-e98  |
| a50-b42-c84  |  a48-b93-d19  | a44-b14-e58  | a47-c54-d91  | a41-c51-e11  | a45-d19-e11  |  b50-c48-d38  |  b44-c5-e31  |  b49-d17-e78  |  c47-d95-e8  |
| a50-b42-c99  |  a48-b93-d21  | a44-b14-e91  | a47-c54-d92  | a41-c51-e15  | a45-d19-e15  |  b50-c48-d76  |  b44-c5-e55  |  b49-d17-e94  | c47-d95-e28  |
| a50-b48-c41  |  a48-b93-d37  | a44-b14-e98  | a47-c85-d15  | a41-c51-e37  | a45-d19-e37  |  b50-c48-d89  |  b44-c5-e67  |  b49-d26-e21  | c47-d95-e69  |
| a50-b48-c61  |  a48-b93-d53  | a44-b14-e100 | a47-c85-d20  | a41-c70-e11  | a45-d19-e81  |   b50-c58-d3  |  b44-c5-e74  |  b49-d26-e51  | c47-d95-e71  |
| a50-b48-c63  |  a48-b93-d82  |  a44-b22-e9  | a47-c85-d56  | a41-c70-e15  |  a45-d21-e5  |  b50-c58-d27  | b44-c14-e25  |  b49-d26-e75  |  c47-d99-e8  |
| a50-b48-c73  |  a48-b93-d84  | a44-b22-e12  | a47-c85-d91  | a41-c70-e37  | a45-d21-e11  |  b50-c58-d38  | b44-c14-e42  |  b49-d26-e94  |  c47-d99-e9  |
| a50-b48-c84  |  a48-b93-d86  | a44-b22-e57  |  a47-c92-d5  | a41-c70-e81  | a45-d21-e37  |  b50-c58-d41  | b44-c14-e55  |  b49-d51-e21  | c47-d99-e12  |
| a50-b48-c86  |  a48-b93-d87  | a44-b22-e58  | a47-c92-d15  |  a41-c97-e5  | a45-d21-e81  |  b50-c58-d59  | b44-c21-e31  |  b49-d51-e30  | c47-d99-e69  |
| a50-b48-c89  |  a48-b93-d97  | a44-b22-e91  | a47-c92-d20  |  a41-c97-e6  | a45-d23-e11  |  b50-c58-d68  | b44-c21-e55  |  b49-d51-e50  | c47-d99-e71  |
| a50-b66-c41  |  a49-b40-d14  | a44-b22-e98  | a47-c92-d56  | a41-c97-e11  | a45-d23-e37  |  b50-c58-d76  | b44-c21-e67  |  b49-d51-e51  |  c48-d3-e4   |
| a50-b66-c84  |  a49-b40-d60  | a44-b22-e100 | a47-c92-d91  | a41-c97-e37  | a45-d23-e81  |  b50-c58-d89  | b44-c21-e74  |  b49-d51-e75  |  c48-d3-e31  |
| a50-b66-c99  |  a49-b40-d79  |  a44-b28-e9  | a48-c17-d19  | a41-c97-e81  |  a45-d53-e5  |  b50-c58-d98  | b44-c34-e55  |  b49-d51-e78  |  c48-d3-e67  |
| a50-b99-c41  |  a49-b40-d94  | a44-b28-e12  | a48-c17-d21  | a42-c35-e13  | a45-d53-e11  |   b50-c66-d3  | b44-c34-e70  |  b49-d88-e21  |  c48-d3-e74  |
| a50-b99-c61  |  a49-b47-d14  | a44-b28-e57  | a48-c17-d37  | a42-c35-e44  | a45-d53-e37  |  b50-c66-d27  | b44-c34-e73  |  b49-d88-e51  |  c48-d27-e4  |
| a50-b99-c73  |  a49-b47-d60  | a44-b28-e58  | a48-c17-d53  | a42-c35-e47  | a45-d53-e81  |  b50-c66-d38  | b44-c56-e25  |  b49-d88-e75  | c48-d27-e31  |
| a50-b99-c84  |  a49-b47-d79  | a44-b28-e60  | a48-c17-d82  | a42-c35-e49  |  a45-d82-e5  |  b51-c38-d36  | b44-c56-e55  |  b49-d88-e78  | c48-d27-e40  |
|  a51-b5-c27  |  a49-b47-d94  | a44-b28-e91  | a48-c17-d87  | a42-c35-e65  | a45-d82-e11  |  b51-c38-d78  | b44-c56-e73  |  b49-d88-e94  | c48-d27-e67  |
|  a51-b5-c45  |  a49-b59-d31  | a44-b28-e98  | a48-c51-d19  | a42-c40-e13  | a45-d82-e15  |  b51-c40-d18  | b44-c58-e25  |   b50-d3-e4   | c48-d27-e74  |
|  a51-b5-c77  |  a49-b59-d72  | a44-b28-e100 | a48-c51-d21  | a42-c40-e44  | a45-d82-e37  |  b51-c40-d36  | b44-c58-e31  |   b50-d3-e25  |  c48-d36-e4  |
| a51-b15-c27  |  a49-b64-d72  | a44-b55-e19  | a48-c51-d37  | a42-c40-e47  | a45-d82-e81  |  b51-c40-d78  | b44-c58-e42  |   b50-d3-e31  | c48-d36-e40  |
| a51-b15-c77  |  a49-b64-d79  | a44-b55-e57  | a48-c51-d53  | a42-c40-e49  |  a45-d87-e5  |  b51-c52-d36  | b44-c58-e55  |   b50-d3-e55  | c48-d36-e59  |
| a51-b61-c10  |  a49-b68-d14  | a44-b55-e60  | a48-c51-d82  | a42-c40-e65  | a45-d87-e11  |  b51-c52-d78  | b44-c58-e67  |   b50-d3-e67  | c48-d36-e67  |
| a51-b61-c12  |  a49-b68-d31  | a44-b55-e91  | a48-c51-d84  | a42-c44-e13  | a45-d87-e37  |  b51-c68-d36  | b44-c58-e74  |   b50-d3-e74  |  c48-d38-e4  |
| a51-b61-c27  |  a49-b68-d72  | a44-b91-e19  | a48-c51-d86  | a42-c44-e44  | a45-d87-e81  |  b51-c68-d78  | b44-c66-e31  |   b50-d27-e4  | c48-d38-e31  |
| a51-b61-c45  |  a49-b68-d79  | a44-b91-e57  | a48-c51-d87  | a42-c44-e47  | a45-d90-e11  |  b51-c93-d36  | b44-c66-e67  |  b50-d27-e31  | c48-d38-e40  |
| a51-b61-c77  |  a49-b71-d14  | a44-b91-e60  | a48-c51-d97  | a42-c44-e49  | a45-d90-e15  |  b51-c93-d78  | b44-c66-e70  |  b50-d27-e55  | c48-d38-e59  |
| a51-b61-c81  |  a49-b71-d31  |  a45-b3-e5   | a48-c59-d37  | a42-c44-e65  | a45-d90-e37  |  b52-c11-d36  | b44-c66-e74  |  b50-d27-e67  | c48-d38-e67  |
| a51-b85-c10  |  a49-b71-d60  |  a45-b3-e11  | a48-c59-d84  | a42-c65-e13  | a45-d90-e48  |  b52-c11-d38  |  b45-c8-e7   |  b50-d27-e74  | c48-d38-e74  |
| a51-b85-c12  |  a49-b71-d72  |  a45-b3-e37  | a48-c59-d86  | a42-c65-e44  | a45-d90-e81  |  b52-c26-d36  |  b45-c8-e89  |   b50-d38-e4  |  c48-d76-e4  |
| a51-b85-c45  |  a49-b71-d79  |  a45-b3-e81  | a48-c59-d97  | a42-c65-e47  | a46-d14-e14  |  b52-c26-d38  |  b45-c20-e7  |  b50-d38-e31  | c48-d76-e31  |
| a51-b85-c77  |  a49-b71-d94  |  a45-b93-e5  | a48-c97-d19  | a42-c78-e13  | a46-d14-e77  |  b52-c38-d36  | b45-c20-e26  |  b50-d38-e67  | c48-d76-e40  |
| a51-b85-c81  |  a49-b94-d31  | a45-b93-e11  | a48-c97-d21  | a42-c78-e44  | a46-d25-e17  |  b52-c38-d38  | b45-c20-e62  |  b50-d38-e74  | c48-d76-e67  |
|  a52-b9-c26  |  a49-b94-d72  | a45-b93-e15  | a48-c97-d37  | a42-c78-e47  | a46-d25-e77  |  b52-c38-d78  | b45-c20-e89  |  b50-d41-e25  | c48-d76-e74  |
|  a52-b9-c33  |  a49-b94-d79  | a45-b93-e37  | a48-c97-d53  | a42-c78-e49  | a46-d32-e14  |  b52-c48-d36  | b45-c20-e93  |  b50-d41-e55  | c48-d89-e31  |
| a52-b17-c33  |  a50-b20-d46  | a46-b37-e17  | a48-c97-d82  | a42-c78-e65  | a46-d32-e19  |  b52-c48-d38  |  b45-c46-e7  |  b50-d59-e25  | c48-d89-e67  |
| a52-b18-c26  |  a50-b20-d69  | a46-b37-e19  | a48-c97-d87  | a42-c79-e13  | a46-d32-e61  |  b52-c52-d36  | b45-c46-e62  |  b50-d59-e55  | c48-d89-e74  |
| a52-b18-c41  |  a50-b20-d77  | a46-b40-e14  | a48-c97-d97  | a42-c79-e44  | a46-d32-e66  |  b52-c52-d38  | b45-c46-e89  |  b50-d68-e25  |  c49-d2-e16  |
| a52-b18-c84  |  a50-b20-d81  | a46-b40-e17  |  a49-c4-d31  | a42-c79-e47  | a46-d39-e14  |  b52-c52-d78  |  b45-c54-e7  |  b50-d68-e31  |  c49-d2-e38  |
| a52-b24-c33  |  a50-b20-d85  | a46-b40-e66  |  a49-c4-d72  | a42-c79-e49  | a46-d39-e19  |  b52-c66-d38  | b45-c54-e89  |  b50-d68-e55  |  c49-d2-e39  |
| a52-b24-c41  |  a50-b20-d95  | a46-b40-e77  |  a49-c4-d79  | a42-c79-e65  | a46-d39-e61  |  b52-c68-d36  | b45-c54-e93  |  b50-d68-e74  |  c49-d2-e43  |
| a52-b24-c84  |  a50-b20-d99  | a46-b47-e14  | a49-c15-d31  | a42-c90-e13  | a46-d39-e66  |  b52-c68-d38  |  b45-c85-e7  |   b50-d76-e4  |  c49-d2-e56  |
| a52-b42-c41  |  a50-b24-d77  | a46-b47-e17  | a49-c15-d72  | a42-c90-e44  | a46-d42-e19  |  b52-c68-d78  | b45-c85-e26  |  b50-d76-e31  |  c49-d2-e70  |
| a52-b42-c84  |  a50-b24-d85  | a46-b47-e66  | a49-c23-d14  | a42-c90-e47  | a46-d42-e61  |  b52-c93-d36  | b45-c85-e62  |  b50-d76-e67  |  c49-d2-e72  |
| a52-b64-c33  |  a50-b24-d95  | a46-b47-e77  | a49-c23-d60  | a42-c90-e49  | a46-d42-e66  |  b52-c93-d38  | b45-c85-e89  |  b50-d76-e74  |  c49-d2-e73  |
| a52-b66-c33  |  a50-b24-d99  | a46-b55-e19  | a49-c23-d79  | a43-c45-e48  | a46-d79-e14  |  b52-c93-d78  |  b45-c92-e7  |  b50-d89-e25  |  c49-d4-e39  |
| a52-b66-c41  |  a50-b39-d77  | a46-b55-e61  | a49-c23-d94  | a43-c45-e88  | a46-d79-e61  |   b53-c16-d4  | b45-c92-e26  |  b50-d89-e31  |  c49-d4-e41  |
| a52-b66-c84  |  a50-b39-d95  | a46-b55-e66  | a49-c37-d14  | a43-c45-e99  | a46-d79-e66  |  b53-c16-d24  | b45-c92-e62  |  b50-d89-e55  |  c49-d4-e43  |
| a52-b99-c41  |  a50-b39-d99  | a46-b68-e14  | a49-c37-d60  | a43-c77-e32  | a46-d94-e17  |  b53-c16-d34  | b45-c92-e89  |  b50-d89-e67  |  c49-d4-e56  |
| a52-b99-c84  |  a50-b42-d34  | a46-b68-e61  | a49-c37-d94  | a43-c77-e83  | a46-d94-e77  |  b53-c16-d71  | b45-c92-e93  |  b50-d89-e74  |  c49-d4-e72  |
| a53-b10-c22  |  a50-b42-d46  | a46-b68-e66  | a49-c39-d14  | a43-c77-e88  |  a47-d5-e26  |  b53-c34-d71  | b46-c16-e30  |  b50-d98-e25  |  c49-d4-e90  |
| a53-b10-c29  |  a50-b42-d77  | a46-b71-e14  | a49-c39-d31  | a43-c77-e99  |  a47-d5-e87  |   b53-c41-d4  | b46-c16-e33  |  b50-d98-e31  | c49-d24-e38  |
| a53-b10-c32  |  a50-b42-d81  | a46-b71-e66  | a49-c39-d94  | a43-c87-e48  |  a47-d5-e89  |  b53-c41-d24  | b46-c16-e39  |  b50-d98-e55  | c49-d24-e39  |
| a53-b10-c50  |  a50-b42-d85  | a46-b71-e77  | a49-c42-d14  | a43-c87-e88  |  a47-d5-e93  |  b53-c41-d34  | b46-c16-e43  |  b50-d98-e67  | c49-d24-e41  |
| a53-b10-c72  |  a50-b42-d95  | a46-b88-e17  | a49-c42-d31  | a43-c87-e99  |  a47-d15-e7  |  b53-c41-d71  | b46-c16-e56  |  b50-d98-e74  | c49-d24-e43  |
| a53-b10-c75  |  a50-b42-d99  | a46-b88-e19  | a49-c42-d60  |  a44-c6-e9   | a47-d15-e26  |   b53-c49-d4  | b46-c16-e72  |  b51-d18-e13  | c49-d24-e56  |
| a53-b10-c80  |   a50-b48-d4  | a46-b88-e66  | a49-c42-d94  |  a44-c6-e12  | a47-d15-e62  |  b53-c49-d24  | b46-c16-e73  |  b51-d18-e65  | c49-d24-e72  |
| a53-b16-c14  |  a50-b48-d24  | a46-b88-e77  | a49-c65-d14  |  a44-c6-e19  | a47-d15-e87  |  b53-c49-d34  | b46-c16-e90  |   b51-d36-e4  | c49-d24-e73  |
| a53-b16-c29  |  a50-b48-d34  | a47-b11-e26  | a49-c65-d31  |  a44-c6-e57  | a47-d15-e89  |  b53-c49-d71  | b46-c34-e39  |  b51-d36-e40  | c49-d24-e90  |
| a53-b16-c32  |  a50-b48-d46  | a47-b11-e87  | a49-c95-d14  |  a44-c6-e91  | a47-d15-e93  |  b53-c56-d71  | b46-c34-e43  |  b51-d36-e59  | c49-d34-e16  |
| a53-b16-c50  |  a50-b48-d69  | a47-b11-e89  | a49-c95-d31  |  a44-c6-e98  |  a47-d20-e7  |  b53-c64-d71  | b46-c34-e56  |   b51-d78-e4  | c49-d34-e38  |
| a53-b16-c55  |  a50-b48-d70  | a47-b11-e93  | a49-c95-d60  |  a44-c18-e9  | a47-d20-e26  |   b54-c1-d3   | b46-c34-e73  |  b51-d78-e13  | c49-d34-e39  |
| a53-b16-c72  |  a50-b48-d77  |  a47-b21-e7  | a49-c95-d94  | a44-c18-e12  | a47-d20-e62  |   b54-c1-d27  | b46-c49-e39  |  b51-d78-e40  | c49-d34-e41  |
| a53-b16-c75  |  a50-b48-d81  | a47-b21-e26  |  a50-c41-d4  | a44-c18-e19  | a47-d20-e87  |   b54-c1-d36  | b46-c49-e43  |  b51-d78-e59  | c49-d34-e43  |
| a53-b16-c80  |  a50-b48-d85  | a47-b21-e62  | a50-c41-d24  | a44-c18-e57  | a47-d20-e89  |   b54-c1-d38  | b46-c49-e56  |  b51-d78-e65  | c49-d34-e56  |
| a53-b23-c14  |  a50-b48-d99  | a47-b21-e87  | a50-c41-d34  | a44-c18-e58  | a47-d20-e93  |   b54-c1-d76  | b46-c49-e72  |   b52-d36-e4  | c49-d34-e70  |
| a53-b23-c22  |  a50-b48-d100 | a47-b21-e89  | a50-c41-d77  | a44-c18-e60  | a47-d29-e26  |   b54-c11-d2  | b46-c49-e73  |  b52-d36-e34  | c49-d34-e72  |
| a53-b23-c29  |  a50-b66-d34  | a47-b21-e93  | a50-c41-d81  | a44-c18-e91  | a47-d29-e87  |   b54-c11-d3  | b46-c49-e90  |  b52-d36-e40  | c49-d34-e90  |
| a53-b23-c32  |  a50-b66-d77  |  a47-b37-e7  | a50-c41-d85  | a44-c18-e98  | a47-d29-e89  |  b54-c11-d27  | b46-c56-e30  |  b52-d36-e59  | c49-d47-e16  |
| a53-b23-c50  |  a50-b66-d85  | a47-b37-e62  | a50-c41-d95  | a44-c18-e100 | a47-d29-e93  |  b54-c11-d36  | b46-c56-e43  |  b52-d36-e67  | c49-d47-e38  |
| a53-b23-c55  |  a50-b66-d95  | a47-b37-e89  | a50-c41-d99  | a44-c54-e19  |  a47-d56-e7  |  b54-c11-d38  | b46-c56-e73  |   b52-d38-e4  | c49-d47-e39  |
